Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Botswana,BWA,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,20.25510739,21.66939694,22.2357154,22.78366543,29.80392056,28.69994628,27.87379793,26.64129185,29.91902246,27.91966544,35.50032903,39.37190144,43.98722593,53.38249697,51.97179621,42.8440488,44.29022897,40.3060465,40.85554458,30.95270762,29.20848043,38.94648337,38.60518586,39.54010666,41.68441192,41.99655428,44.50490101,36.06413896,39.43583483,38.38214547,44.15148533,43.8026128,46.11465828,39.03227744,27.66783236,33.32978176,38.85777304,36.20459541,34.38607609,38.34753898,32.64133968,32.94518038,33.57644281,29.03998687,27.26966317,22.32070905,23.10625103,,
Central African Republic,CAF,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,7.838647274,6.90933348,7.577202413,1.60057782,8.099345417,0.98037851,7.504686091,7.171917226,11.56797299,8.727350532,8.505319379,10.80262847,12.21037266,11.0517635,9.65415525,9.949593493,12.71065154,15.47010266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,21.3432506,21.39117864,21.41669004,23.54913717,24.48415402,21.43182218,22.25910036,21.05833391,20.83639622,22.69003678,22.80672746,23.26907564,20.61191427,20.65777689,21.57989631,21.18154988,19.62755873,20.80824613,21.66228593,20.85555526,18.42279248,15.66122634,14.57955554,15.40751307,17.61386461,19.62566735,20.1304005,20.8425842,20.46249129,21.83045098,24.41505636,23.2911416,22.28857693,22.4970678,24.18158367,24.96185233,25.01485402,24.76889962,24.60896072,18.8444871,19.70189791,21.25864874,21.29587268,21.93134446,22.51225199,19.87382492,19.38325078,20.10090864,19.98341467,20.2758689,19.09666354,23.09015656,,
Central Europe and the Baltics,CEB,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.89599591,21.8619567,22.00066811,22.31084972,20.71501163,20.62837877,20.39483238,19.69207996,19.17338277,19.05351539,19.83649856,20.48127282,20.99740283,21.27297856,20.13528523,19.89445173,20.87631997,20.69538957,21.72153681,22.4047682,23.41880504,22.86879828,22.89063631,22.91954108,23.24043008,23.04038253,22.87311352,,
Switzerland,CHE,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.14822311,31.40917829,32.13256651,32.83446725,32.75344915,35.45462255,33.34814436,32.00009122,34.40858371,34.8123052,36.13509842,38.18535007,35.98472523,31.19623995,34.70149753,38.04706406,35.8223428,36.36639337,35.79342972,34.35677932,35.37351763,34.68851281,33.17952747,33.21129927,33.09209693,32.72151418,36.01073261,,
Channel Islands,CHI,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,7.852394938,14.89150782,10.98295692,12.3959242,12.73775013,14.51204325,8.236524885,2.050853232,6.441732516,7.843561116,10.47562877,13.52157459,19.38832579,24.70125262,25.57789574,24.99347748,23.90553797,22.76830471,22.00861531,22.52811173,25.19149886,26.15239628,25.86439175,23.93067123,23.14027738,23.31794714,23.73375274,24.04622589,24.80790263,26.38218954,27.27059764,31.05399857,30.6356669,26.38392277,26.33132079,28.25097095,24.07232685,24.82804939,23.72292003,22.6864411,23.30582094,21.69133449,20.64430621,20.44254807,20.57007391,21.2561741,19.88248554,,
China,CHN,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,33.75834127,33.0245318,34.72600687,35.18360162,35.25287782,37.25825502,37.99419149,35.85859446,36.59633753,38.42309351,40.58514224,41.79391262,41.77341517,40.17405225,39.32536684,40.20227725,38.97751297,37.04794744,36.17754145,37.81054585,39.28245166,42.67615638,45.7925451,46.28091339,48.35084402,50.16161798,51.46759237,50.45742556,51.54749944,49.69647933,48.77866012,47.76683415,47.55544345,45.63534574,44.60181963,44.96396488,44.68200057,43.89601514,44.28098055,45.30236433,,
Cote d'Ivoire,CIV,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.41965961,-26.99636615,-29.26256683,-20.34701969,-17.6897527,-16.55067092,-18.70198217,-13.86297972,-11.90596494,23.2214339,23.03597103,20.77330318,17.97699944,16.28857807,18.03595151,21.81154922,,,
Cameroon,CMR,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,5.298850329,19.95915421,16.52741719,6.272930043,10.57006698,24.86582689,22.67855896,25.66049673,24.08445078,24.18668376,19.18942059,19.78707684,18.14009642,16.91148909,16.44360251,11.73072921,16.79227757,18.94914594,20.73174307,17.30708246,18.52805901,18.10290319,17.20765613,15.23951069,12.98333407,12.59757804,14.67503002,17.28792567,17.30402307,19.55627763,19.28985676,17.78233124,16.20728053,15.44659257,15.67635828,15.34102893,15.60790289,16.43722349,14.51254194,16.73107976,16.5957376,16.00265069,14.71162551,13.5334854,14.41206925,,
